,dep,jour,P,cl_age90,pop
5180,03,2020-05-13,0,0,331315.0
5191,03,2020-05-14,2,0,331315.0
5202,03,2020-05-15,2,0,331315.0
5213,03,2020-05-16,2,0,331315.0
5224,03,2020-05-17,1,0,331315.0
5235,03,2020-05-18,1,0,331315.0
5246,03,2020-05-19,4,0,331315.0
5257,03,2020-05-20,4,0,331315.0
5268,03,2020-05-21,0,0,331315.0
5279,03,2020-05-22,17,0,331315.0
5290,03,2020-05-23,1,0,331315.0
5301,03,2020-05-24,0,0,331315.0
5312,03,2020-05-25,4,0,331315.0
5323,03,2020-05-26,1,0,331315.0
5334,03,2020-05-27,0,0,331315.0
5345,03,2020-05-28,2,0,331315.0
5356,03,2020-05-29,2,0,331315.0
5367,03,2020-05-30,0,0,331315.0
5378,03,2020-05-31,0,0,331315.0
5389,03,2020-06-01,1,0,331315.0
5400,03,2020-06-02,1,0,331315.0
5411,03,2020-06-03,0,0,331315.0
5422,03,2020-06-04,1,0,331315.0
5433,03,2020-06-05,0,0,331315.0
5444,03,2020-06-06,0,0,331315.0
5455,03,2020-06-07,0,0,331315.0
5466,03,2020-06-08,0,0,331315.0
5477,03,2020-06-09,0,0,331315.0
5488,03,2020-06-10,1,0,331315.0
5499,03,2020-06-11,2,0,331315.0
5510,03,2020-06-12,3,0,331315.0
5521,03,2020-06-13,1,0,331315.0
5532,03,2020-06-14,0,0,331315.0
5543,03,2020-06-15,0,0,331315.0
5554,03,2020-06-16,3,0,331315.0
5565,03,2020-06-17,1,0,331315.0
5576,03,2020-06-18,1,0,331315.0
5587,03,2020-06-19,0,0,331315.0
5598,03,2020-06-20,0,0,331315.0
5609,03,2020-06-21,0,0,331315.0
5620,03,2020-06-22,0,0,331315.0
5631,03,2020-06-23,0,0,331315.0
5642,03,2020-06-24,1,0,331315.0
5653,03,2020-06-25,0,0,331315.0
5664,03,2020-06-26,2,0,331315.0
5675,03,2020-06-27,0,0,331315.0
5686,03,2020-06-28,0,0,331315.0
5697,03,2020-06-29,2,0,331315.0
5708,03,2020-06-30,1,0,331315.0
5719,03,2020-07-01,2,0,331315.0
5730,03,2020-07-02,1,0,331315.0
5741,03,2020-07-03,0,0,331315.0
5752,03,2020-07-04,1,0,331315.0
5763,03,2020-07-05,0,0,331315.0
5774,03,2020-07-06,0,0,331315.0
5785,03,2020-07-07,0,0,331315.0
5796,03,2020-07-08,1,0,331315.0
5807,03,2020-07-09,1,0,331315.0
5818,03,2020-07-10,1,0,331315.0
5829,03,2020-07-11,0,0,331315.0
5840,03,2020-07-12,0,0,331315.0
5851,03,2020-07-13,1,0,331315.0
5862,03,2020-07-14,0,0,331315.0
5873,03,2020-07-15,3,0,331315.0
5884,03,2020-07-16,3,0,331315.0
5895,03,2020-07-17,1,0,331315.0
5906,03,2020-07-18,0,0,331315.0
5917,03,2020-07-19,0,0,331315.0
5928,03,2020-07-20,0,0,331315.0
5939,03,2020-07-21,1,0,331315.0
5950,03,2020-07-22,5,0,331315.0
5961,03,2020-07-23,4,0,331315.0
5972,03,2020-07-24,1,0,331315.0
5983,03,2020-07-25,4,0,331315.0
5994,03,2020-07-26,0,0,331315.0
6005,03,2020-07-27,4,0,331315.0
6016,03,2020-07-28,0,0,331315.0
6027,03,2020-07-29,3,0,331315.0
6038,03,2020-07-30,0,0,331315.0
6049,03,2020-07-31,2,0,331315.0
6060,03,2020-08-01,0,0,331315.0
6071,03,2020-08-02,0,0,331315.0
6082,03,2020-08-03,5,0,331315.0
6093,03,2020-08-04,1,0,331315.0
6104,03,2020-08-05,0,0,331315.0
6115,03,2020-08-06,1,0,331315.0
6126,03,2020-08-07,1,0,331315.0
6137,03,2020-08-08,0,0,331315.0
6148,03,2020-08-09,0,0,331315.0
6159,03,2020-08-10,5,0,331315.0
6170,03,2020-08-11,2,0,331315.0
6181,03,2020-08-12,0,0,331315.0
6192,03,2020-08-13,2,0,331315.0
6203,03,2020-08-14,3,0,331315.0
6214,03,2020-08-15,0,0,331315.0
6225,03,2020-08-16,0,0,331315.0
6236,03,2020-08-17,9,0,331315.0
6247,03,2020-08-18,3,0,331315.0
6258,03,2020-08-19,4,0,331315.0
6269,03,2020-08-20,9,0,331315.0
6280,03,2020-08-21,6,0,331315.0
6291,03,2020-08-22,2,0,331315.0
6302,03,2020-08-23,0,0,331315.0
