,dep,jour,incid_hosp,incid_rea,incid_dc
400,02,2020-07-18,1,0,0
401,02,2020-07-19,0,0,0
402,02,2020-07-20,1,0,1
403,02,2020-07-21,0,0,1
404,02,2020-07-22,2,0,0
405,02,2020-07-23,0,0,0
406,02,2020-07-24,1,0,0
407,02,2020-07-25,0,0,0
408,02,2020-07-26,1,0,0
409,02,2020-07-27,0,0,0
410,02,2020-07-28,0,0,0
411,02,2020-07-29,2,2,0
412,02,2020-07-30,0,0,1
413,02,2020-07-31,3,0,0
414,02,2020-08-01,0,0,0
415,02,2020-08-02,1,1,0
416,02,2020-08-03,0,0,1
417,02,2020-08-04,0,0,0
418,02,2020-08-05,2,0,0
419,02,2020-08-06,2,0,0
420,02,2020-08-07,0,0,0
421,02,2020-08-08,2,3,0
422,02,2020-08-09,0,0,0
423,02,2020-08-10,2,1,0
424,02,2020-08-11,4,1,1
425,02,2020-08-12,1,0,0
426,02,2020-08-13,3,0,1
427,02,2020-08-14,1,0,1
428,02,2020-08-15,6,1,1
429,02,2020-08-16,0,0,0
430,02,2020-08-17,1,0,0
431,02,2020-08-18,1,0,1
432,02,2020-08-19,1,1,0
433,02,2020-08-20,1,1,1
434,02,2020-08-21,1,0,0
435,02,2020-08-22,1,0,0
436,02,2020-08-23,0,0,0
437,02,2020-08-24,0,0,0
438,02,2020-08-25,2,0,0
439,02,2020-08-26,1,0,0
440,02,2020-08-27,0,0,0
441,02,2020-08-28,3,0,2
442,02,2020-08-29,1,0,0
443,02,2020-08-30,1,0,0
444,02,2020-08-31,0,0,0
445,02,2020-09-01,1,0,0
446,02,2020-09-02,0,0,0
447,02,2020-09-03,1,0,0
448,02,2020-09-04,0,0,0
449,02,2020-09-05,1,0,0
450,02,2020-09-06,2,0,0
451,02,2020-09-07,0,0,0
452,02,2020-09-08,2,1,0
453,02,2020-09-09,3,0,0
454,02,2020-09-10,0,0,0
455,02,2020-09-11,0,0,0
456,02,2020-09-12,0,0,0
457,02,2020-09-13,0,0,0
458,02,2020-09-14,3,0,0
459,02,2020-09-15,2,1,0
460,02,2020-09-16,0,0,0
461,02,2020-09-17,3,0,0
462,02,2020-09-18,0,0,1
463,02,2020-09-19,4,1,0
464,02,2020-09-20,1,0,0
465,02,2020-09-21,6,1,0
466,02,2020-09-22,1,0,0
467,02,2020-09-23,5,1,0
468,02,2020-09-24,1,0,0
469,02,2020-09-25,0,0,0
470,02,2020-09-26,3,2,1
471,02,2020-09-27,3,0,0
472,02,2020-09-28,8,2,0
473,02,2020-09-29,4,0,0
474,02,2020-09-30,3,1,0
475,02,2020-10-01,3,1,0
476,02,2020-10-02,4,0,0
477,02,2020-10-03,3,0,0
478,02,2020-10-04,0,0,0
479,02,2020-10-05,3,0,0
480,02,2020-10-06,0,0,0
481,02,2020-10-07,5,0,0
482,02,2020-10-08,1,0,0
483,02,2020-10-09,2,1,0
484,02,2020-10-10,8,1,1
485,02,2020-10-11,4,0,0
486,02,2020-10-12,2,1,0
487,02,2020-10-13,9,1,4
488,02,2020-10-14,9,1,0
489,02,2020-10-15,9,2,1
490,02,2020-10-16,11,4,0
491,02,2020-10-17,0,0,0
492,02,2020-10-18,16,2,0
493,02,2020-10-19,6,0,1
494,02,2020-10-20,8,1,0
495,02,2020-10-21,7,1,1
496,02,2020-10-22,24,2,1
497,02,2020-10-23,16,0,1
498,02,2020-10-24,16,0,3
499,02,2020-10-25,8,2,3
500,02,2020-10-26,23,4,2
501,02,2020-10-27,11,2,0
502,02,2020-10-28,21,4,4
503,02,2020-10-29,12,2,2
504,02,2020-10-30,21,3,5
505,02,2020-10-31,6,0,1
